heuristic,10,15,20,25,30,35,40,45,50
greedyOptimizer,7.2,20.9,38.8,61.9,89.6,135.9,161.7,233.2,285.7
topDown,12.0,27.6,49.3,73.7,108.7,160.1,181.0,286.9,340.9
buttomUp,7.2,20.9,38.9,62.3,90.2,136.3,161.9,233.7,286.5
euclidean,7.3,21.9,39.2,64.3,92.0,137.6,162.8,236.1,290.1
horizontal,8.2,23.5,42.3,69.7,98.7,146.5,175.3,255.1,304.3
hop,8.1,23.9,42.9,70.0,98.4,145.9,173.9,251.7,301.1
topDown+,6.9,20.8,39.1,62.2,89.8,136.3,161.7,233.2,286.0
buttomUp+,6.9,20.8,38.8,61.8,89.6,135.9,161.7,233.2,285.8
euclidean+,7.0,20.8,38.8,62.2,89.6,135.5,161.7,233.2,285.8
horizontal+,7.0,20.8,38.9,62.1,89.8,136.1,161.6,233.2,286.0
hop+,7.1,20.8,39.1,62.2,89.6,136.0,161.6,233.2,285.7
